Species		Std		a 		b 		c 		d 		e 		H 	He	C	N	O	F	Ne	Na	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni


Al		0       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlC		0     	 	 7.61223E+05	-8.85200E+04	2.63399E+01	 2.09197E-04	-2.13086E-08	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlCl		0	    	 1.88924E+05	-1.21504E+05	2.61221E+01	 3.15178E-04	-2.07655E-08	0	0	0	0	0	0	0	0	0	1	0	0	0 	1	0	0	0	0	0	0	0	0	0
AlClF		0	    	 7.01351E+05	-2.47529E+05	5.33236E+01	 2.28730E-04	-1.52921E-08	0	0	0	0	0	1	0	0	0	1	0	0	0 	1	0	0	0	0	0	0	0	0	0
AlCl2		0	   	 7.04255E+05	-2.07583E+05	5.30093E+01	 2.51910E-04	-1.69088E-08	0	0	0	0	0	0	0	0	0	1	0	0	0 	2	0	0	0	0	0	0	0	0	0
AlCl3		0   		 2.87548E+05	-3.07771E+05	8.58102E+01	 1.00552E-04	-5.97208E-09	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0
AlF		0     	 	 2.00445E+05	-1.62732E+05	2.80276E+01	 2.61782E-04	-1.60475E-08	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlF2		0     	 	 7.04605E+05	-2.86526E+05	5.66162E+01	 2.07716E-04	-1.38227E-08	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlF3		0    		 3.24054E+05	-4.27191E+05	9.14090E+01	-2.46342E-05	 0.00000E+00	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlH		0     	 	 8.52428E+05	-7.28690E+04	2.55046E+01	 2.68907E-04	-2.72109E-08	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlHO		0	    	 9.51037E+05	-1.87634E+05	5.98330E+01	 8.98062E-05	-1.46266E-08	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlN		0     	 	 2.01589E+05	-6.82354E+04	2.32567E+01	 1.80755E-04	-6.33565E-09	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlO		0     	 	 3.55090E+05	-1.25068E+05	2.94347E+01	-3.97980E-04	 2.26575E-08	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AlOCl		0	   	 7.65916E+05	-2.54000E+05	6.10901E+01	 3.92406E-05	-1.08355E-08	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AlOF		0      	 	 6.16111E+05	-2.99645E+05	6.30711E+01	-1.30321E-04	 6.00847E-09	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0 	0	0	0	0	0	0	0	0
