Name	Type	Standard Number	Molecular Mass	Initial Mixing Ratio	Upper Boundary Flux Beside Escape (Upwards)	Lower Boundary Type	Dry Deposition Velocity	Lower Boundary Flux (Upwards)	
O(1D)	X	56	16	0	0	2	0	0	
HNO4	X	70	79	0	0	2	0	0	
SO21	X	74	64	0	0	2	0	0	
SO23	X	75	64	0	0	2	0	0	
O	X	1	16	0	0	2	0	0	
H	X	3	1	0	0	2	0	0	
OH	X	4	17	0	0	2	0	0	
H2O	X	7	18	0.05	0	1	0	0.05	
N	X	8	14	0	0	2	0	0	
NH3	X	9	17	0	0	2	0	0	
NH2	X	10	16	0	0	2	0	0	
C	X	19	12	0	0	2	0	0	
CO	X	20	28	0	0	2	0	0	
CH4	X	21	16	0	0	2	0	7.0E+10	
CH2O	X	22	30	0	0	2	0	0	
HOCHO	X	23	46	0	0	2	0	0	
CH3OH	X	24	32	0	0	2	0	0	
C2H2	X	27	26	0	0	2	0	0	
C2H3	X	28	27	0	0	2	0	0	
C2H4	X	29	28	0	0	2	0	0	
C2H5	X	30	29	0	0	2	0	0	
C2H6	X	31	30	0	0	2	0	0	
HCCO	X	32	41	0	0	2	0	0	
CH2CO	X	33	42	0	0	2	0	0	
CH3CO	X	34	43	0	0	2	0	0	
CH3CHO	X	35	44	0	0	2	0	0	
CH3CH2O	X	36	45	0	0	2	0	0	
HCN	X	37	27	0	0	2	0	0	
CN	X	38	26	0	0	2	0	0	
NCO	X	39	42	0	0	2	0	0	
S	X	40	32	0	0	2	1	0	
S2	X	41	64	0	0	2	0	0	
SO	X	42	48	0	0	2	0.0003	0	
SO2	X	43	64	0	0	2	1	9E+9	
SO3	X	44	80	0	0	2	0	0	
H2S	X	45	34	0	0	2	0.015	2E+8	
SH	X	46	33	0	0	2	0	0	
HSO	X	47	49	0	0	2	1	0	
HOSO	X	48	65	0	0	2	0	0	
COS	X	49	60	0	0	2	0.003	1.08E+9	
CH3S	X	51	47	0	0	2	0.01	0	
CO2	X	52	44	0.01	0	1	0	0.01	
H2	X	53	2	0.934	0	1	0	0.934	
N2	X	55	28	0.006	0	1	0	0.006	
NH	X	57	15	0	0	2	0	0	
CH	X	58	13	0	0	2	0	0	
CH2	X	59	14	0	0	2	0	0	
CH3	X	60	15	0	0	2	0	0	
HCO	X	61	29	0	0	2	0	0	
HOCO	X	63	45	0	0	2	0	0	
HOSO2	X	68	81	0	0	2	0	0	
CH3SH	X	69	48	0	0	2	0	1.66E+10	
HNCO	X	72	43	0	0	2	0	0	
CH2(S)	X	80	14	0	0	2	0	0	
N2H2	X	106	30	0	0	2	0	0	
N2H3	X	107	31	0	0	2	0	0	
He	X	112	4	0	0	2	0	0	
Ne	X	113	20	0	0	2	0	0	
CH2OH	X	114	31	0	0	2	0	0	
HCOH	X	115	30	0	0	2	0	0	
CH2CHO	X	116	43	0	0	2	0	0	
H2CC	X	117	26	0	0	2	0	0	
CH2CHOH	X	118	44	0	0	2	0	0	
CH2CH2OH	X	119	45	0	0	2	0	0	
CHCHO	X	120	42	0	0	2	0	0	
HCCOH	X	121	42	0	0	2	0	0	
CHCHOH	X	122	43	0	0	2	0	0	
CH3CH2OH	X	123	46	0	0	2	0	0	
CH3CHOH	X	124	45	0	0	2	0	0	
OCHCO	X	125	57	0	0	2	0	0	
HOCH2O	X	126	47	0	0	2	0	0	
OCHO	X	127	45	0	0	2	0	0	
CH3C(O)O	X	128	59	0	0	2	0	0	
HSO2	X	129	65	0	0	2	0	0	
HOS	X	130	49	0	0	2	0	0	
Sa	X	131	32	0	0	2	0	0	
HSS	X	132	65	0	0	2	0	0	
HSSH	X	133	66	0	0	2	0	0	
CH2SH	X	134	47	0	0	2	0	0	
HCCS	X	135	57	0	0	2	0	0	
H2SS	X	136	66	0	0	2	0	0	
NCN	X	137	40	0	0	2	0	0	
CH2N2	X	138	42	0	0	2	0	0	
H2CN	X	139	28	0	0	2	0	0	
cNCN	X	140	40	0	0	2	0	0	
CH2NCN	X	141	54	0	0	2	0	0	
CH2NH	X	142	29	0	0	2	0	0	
NCOH	X	143	43	0	0	2	0	0	
NNH	X	144	29	0	0	2	0	0	
CH3NH	X	145	30	0	0	2	0	0	
CH2NNH	X	146	43	0	0	2	0	0	
CH2NNH2	X	147	44	0	0	2	0	0	
CH2NH2	X	148	30	0	0	2	0	0	
CHNH	X	149	28	0	0	2	0	0	
DMS	X	150	62	0	0	2	0	8.4E+10	
CH3SCH2	X	151	61	0	0	2	0	0	
